"'Strike","'Symbol","'Bid","'Ask","'Price","'TPrice","'Volume","'OI","'NS","'IVol","'Delta","'Theta","'Gamma","'Vega","'Rho","'Strike",
"'14","'VIX","'0.01","'0.02","'0.01","'0.09","'536","'120416","'S","'0.9485","'-0.0142","'-0.0057","'0.0126","'0.0011","'-0.0001","'14",
"'14.5","'VIX","'0.01","'0.03","'0.02","'0.13","'83","'81977","'S","'0.8938","'-0.0194","'-0.0070","'0.0175","'0.0014","'-0.0001","'14.5",
"'15","'VIX","'0.02","'0.04","'0.03","'0.19","'8443","'184651","'S","'0.8565","'-0.0288","'-0.0094","'0.0255","'0.0020","'-0.0001","'15",
"'15.5","'VIX","'0.04","'0.06","'0.05","'0.26","'4372","'98957","'S","'0.8385","'-0.0457","'-0.0135","'0.0380","'0.0029","'-0.0002","'15.5",
"'16","'VIX","'0.10","'0.12","'0.11","'0.36","'13537","'163900","'S","'0.8878","'-0.0847","'-0.0231","'0.0580","'0.0047","'-0.0004","'16",
"'16.5","'VIX","'0.20","'0.23","'0.23","'0.47","'1069","'37254","'S","'0.9492","'-0.1383","'-0.0351","'0.0772","'0.0067","'-0.0007","'16.5",
"'17","'VIX","'0.38","'0.42","'0.41","'0.62","'57384","'253747","'S","'1.0616","'-0.2089","'-0.0511","'0.0898","'0.0087","'-0.0011","'17",
"'17.5","'VIX","'0.63","'0.67","'0.66","'0.78","'2274","'52931","'S","'1.1676","'-0.2761","'-0.0653","'0.0950","'0.0101","'-0.0015","'17.5",
"'18","'VIX","'0.93","'0.96","'0.94","'0.98","'7705","'155776","'S","'1.2546","'-0.3359","'-0.0766","'0.0965","'0.0110","'-0.0018","'18",
"'18.5","'VIX","'1.26","'1.30","'1.27","'1.19","'2611","'15046","'S","'1.3508","'-0.3902","'-0.0868","'0.0943","'0.0116","'-0.0022","'18.5",
"'19","'VIX","'1.62","'1.66","'1.62","'1.44","'10866","'67896","'S","'1.4524","'-0.4373","'-0.0958","'0.0900","'0.0119","'-0.0025","'19",
"'19.5","'VIX","'2.00","'2.04","'2.00","'1.71","'506","'5102","'S","'1.5395","'-0.4782","'-0.1026","'0.0859","'0.0120","'-0.0028","'19.5",
"'20","'VIX","'2.40","'2.44","'2.40","'2.01","'4613","'89239","'S","'1.6251","'-0.5137","'-0.1084","'0.0814","'0.0120","'-0.0030","'20",
"'20.5","'VIX","'2.81","'2.85","'2.82","'2.32","'323","'11749","'S","'1.6954","'-0.5457","'-0.1125","'0.0776","'0.0119","'-0.0033","'20.5",
"'21","'VIX","'3.20","'3.30","'3.30","'2.66","'437","'13500","'S","'1.7780","'-0.5727","'-0.1167","'0.0732","'0.0118","'-0.0035","'21",
"'21.5","'VIX","'3.65","'3.75","'3.60","'3.02","'28","'4546","'S","'1.8669","'-0.5953","'-0.1211","'0.0689","'0.0117","'-0.0037","'21.5",
"'22","'VIX","'4.10","'4.20","'4.18","'3.40","'436","'1744","'S","'1.9728","'-0.6126","'-0.1264","'0.0644","'0.0115","'-0.0039","'22",
"'22.5","'VIX","'4.55","'4.65","'3.97","'3.80","'1","'96","'S","'2.0187","'-0.6344","'-0.1271","'0.0618","'0.0113","'-0.0041","'22.5",
"'23","'VIX","'5.00","'5.10","'4.48","'4.21","'52","'1083","'S","'2.0834","'-0.6517","'-0.1289","'0.0589","'0.0111","'-0.0043","'23",
"'23.5","'VIX","'5.45","'5.55","'7.20","'4.63","'0","'34","'S","'2.1415","'-0.6680","'-0.1301","'0.0563","'0.0109","'-0.0045","'23.5",
"'24","'VIX","'5.90","'6.00","'5.95","'5.07","'157","'648","'S","'2.1936","'-0.6833","'-0.1307","'0.0539","'0.0107","'-0.0047","'24",
